,0, Bitcoin,0,ToaCoin,0,Pandacoin,0,SnodeCoin,0,Mirai,0,BitBar,0,SteepCoin,0,Flaxscript,0,Cobrabytes
0,1,XRP,1,Steem Dollars,1,SUQA,1,Travelflex,1,Desire,1,HOdlcoin,1,ParallelCoin,1,PosEx,1.0,TerraNova
1,2,Ethereum,2,Loki,2,Solaris,2,Cashbery Coin,2,MFIT COIN,2,Bitmark,2,BigUp,2,Kronecoin,2.0,WINCOIN
2,3,Bitcoin Cash,3,Viacoin,3,LogisCoin,3,APR Coin,3,Nyerium,3,Gainer,3,DROXNE,3,Asiadigicoin,3.0,ANON
3,4,EOS,4,LEOcoin,4,Musicoin,4,The ChampCoin,4,Gossipcoin,4,Ignition,4,Zoomba,4,Zayedcoin,4.0,SIGMAcoin
4,5,Stellar,5,Clams,5,Gentarium,5,SkyHub Coin,5,Sub Invest,5,Cazcoin,5,Fantasy Cash,5,BitCoal,5.0,Nerva
5,6,Bitcoin SV,6,Bitcoin Interest,6,HollyWoodCoin,6,Akroma,6,Peony,6,PlatinumBAR,6,Bitcoin W Spe...,6,MiloCoin,6.0,Jingtum Tech
6,7,Litecoin,7,GINcoin,7,BitSend,7,Monoeci,7,Benz,7,Fastcoin,7,Quatloo,7,iBank,7.0,TWIST
7,8,TRON,8,CloakCoin,8,TurtleCoin,8,Bitcoin Zero,8,Lykke,8,BriaCoin,8,Tokugawa,8,ICOBID,8.0, Golos Gold
8,9,Cardano,9,ZClassic,9,GoByte,9,Rupee,9,FairCoin,9,Adzcoin,9,GlobalBoost-Y,9,Elysium,9.0,Elliot Coin
9,10,IOTA,10,NIX,10,SolarCoin,10,Photon,10,AsiaCoin,10,MarteXcoin,10,Thunderstake,10,Rocketcoin,10.0,EscrowCoin
10,11,Monero,11,POA Network,11,Omni,11,Penguin Coin,11,ECC,11,Helleniccoin,11,BoostCoin,11,Ragnarok,11.0,EmberCoin
11,12,Dash,12,Counterparty,12,Arionum,12,MNPCoin,12,Rubycoin,12,PayCoin,12,GrandCoin,12,BitQuark,12.0,Coin2Play
12,13,NEM,13,Boolberry,13,ZelCash,13,WomenCoin,13,Ondori,13,Compound Coin,13,IrishCoin,13,Pioneer Coin,13.0,Mooncoin
13,14,Ethereum Classic,14,GameCredits,14,Expanse,14,Graviocoin,14,LoMoCoin,14,Unitus,14,GuccioneCoin,14,Eurocoin,14.0,SaveNode
14,15,NEO,15,XTRABYTES,15,DubaiCoin,15,CoinToGo,15,PetroDollar,15,Crave,15,Pakcoin,15,Cabbage,15.0,Monero Original
15,16,Waves,16,Timicoin,16,Masari,16,HunterCoin,16,Motocoin,16,Piggycoin,16,RevolverCoin,16,PLNcoin,16.0,CARDbuyers
16,17,Zcash,17,Electra,17,DeviantCoin,17,EquiTrader,17,Sequence,17,Joulecoin,17,Ultimate Secu...,17,Grimcoin,17.0,Noir
17,18,Dogecoin,18,Nexty,18,VINchain,18,ATBCoin,18,Vites,18,Nyancoin,18,Olympic,18,Virtacoin,18.0,ContractNet
18,19,Tezos,19,Litecoin Cash,19,Curecoin,19,GenesisX,19,B3Coin,19,FirstCoin,19,Leviar,19,EcoCoin,19.0,Fargocoin
19,20,Bitcoin Gold,20,Linda,20,W3Coin,20,Xchange,20,New Power Coin,20,BBSCoin,20,BOAT,20,MustangCoin,20.0,Traid
20,21,VeChain,21,BitNewChain,21,OKCash,21,Dinastycoin,21,Espers,21,Gapcoin,21,Bolivarcoin,21,PRCoin,21.0,Pandemia
21,22,Qtum,22,Asch,22,Dynamic,22,CryptoCarbon,22,CHIPS,22,BritCoin,22,SixEleven,22,Prime-XI,22.0,Haracoin
22,23,Ontology,23,FLO,23,Novacoin,23,Nullex,23,Smoke,23,Blakecoin,23,Evil Coin,23,Iconic,23.0,PlusOneCoin
23,24,Lisk,24,Pascal Coin,24,DNotes,24,Bitzeny,24,42-coin,24,Bitsum,24,ZoZoCoin,24,Jiyo [OLD],24.0,Concierge Coin
24,25,Decred,25,Achain,25,Elite,25,EverGreenCoin,25,Quark,25,Bitcoin Adult,25,Sparks,25,SocialCoin,25.0,Valuto
25,26,Bitcoin Diamond,26,Dero,26,Golos,26,Ether-1,26,BiblePay,26,InflationCoin,26,SecureCoin,26,Interzone,26.0,Runners
26,27,Nano,27,MinexCoin,27,Sphere,27,Hush,27,Zeitcoin,27,Bitcoin Fast,27,Renos,27,BenjiRolls,27.0,Civitas
27,28,Bytecoin,28,PACcoin,28,HiCoin,28,KekCoin,28,BlueCoin,28, Growers Inter...,28,Datacoin,28,SongCoin,28.0,ACChain
28,29,Stratis,29,Bitcore,29,SIBCoin,29,Mao Zedong,29,HEAT,29,iDealCash,29,SecretCoin,29,VectorAI,29.0,Quotient
29,30,DigiByte,30,Aeon,30,SelfSell,30,X-Cash,30,SounDAC,30,Magi,30,TEKcoin,30,Wild Beast Block,30.0,Rubex Money
30,31,Verge,31,Haven Protocol,31,Pirl,31,Octoin Coin,31,Manna,31,MagicCoin,31,Garlicoin,31,LiteCoin Ultra,31.0,Superior Coin
31,32,ICON,32,ION,32,TrustNote,32,EtherGem,32,Uniform Fisca...,32,AdCoin,32,Cheesecoin,32,BowsCoin,32.0,ERA
32,33,BitShares,33,LBRY Credits,33,Bitcoin Incog...,33,CryptoFlow,33,Atmos,33,SagaCoin,33,Eternity,33,Coinonat,33.0,GIGA
33,34,Siacoin,34,DECENT,34,TittieCoin,34,GCN Coin,34,MaxCoin,34,Startcoin,34,Quebecoin,34,Veltor,34.0,OmenCoin
34,35,Factom,35,Primecoin,35,ArtByte,35,BitWhite,35,LiteDoge,35,PyrexCoin,35,IQ.cash,35,Concoin,35.0,SONO
