price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
588,-37,482,0,92,-13,96,91,-42,349
14075,225,24823,63,-112,119,920,-175,62,14050
95200,1178,174160,254,-685,180,5666,-939,145,112250
25425,-298,17230,151,-299,-274,4134,-450,-212,23950
217250,2374,132775,69,393,355,3512,325,295,218750
159750,165,133766,668,885,511,15949,217,44,147250
11100,-588,23315,154,-340,-243,4113,-494,-232,9990
132250,319,113069,761,-987,2658,40863,-1748,513,122750
2795,16,7357,24,-52,9,492,-77,11,2595
81850,3601,122190,540,3037,1140,25114,2497,1493,83350
20075,45,16803,8,-22,3,101,-30,3,25400
21525,466,30320,31,228,507,1956,197,445,18450
12950,163,5966,4,79,71,391,75,59,14275
32875,1888,66008,1824,2501,3828,128439,677,7654,33175
808,-43,956,14,-169,8,1140,-183,-13,747
16925,-40,32584,68,-63,8,1726,-131,7,17425
3797,82,7102,82,227,150,2596,146,67,3810
88450,659,166189,45,102,103,1759,57,45,87700
7235,500,10518,33,-238,144,1777,-270,119,8785
23350,641,67131,9,-55,31,2074,-63,27,22250
7605,110,10324,7,-15,14,220,-21,6,8490
79900,1268,185845,12,40,46,326,28,36,79400
116000,-185,142818,105,352,54,1514,247,-11,126000
77200,2607,35641,20185,28200,24676,62895,8016,18987,77100
1156500,28695,1595449,635,248,53,7062,-386,376,1110500
3058,26,8229,14,-30,24,1062,-44,21,2945
7260,-85,8158,19,-182,8,814,-201,-24,6300
38575,140,55501,101,2251,2286,41297,2150,439,35700
56350,692,122666,17,5,28,482,-11,15,57300
37400,962,71889,54,70,59,777,16,69,36975
969,8,1049,115,61,12,261,-54,8,1018
4071,-47,9163,6,2,-6,198,-4,-7,3958
21775,-47,141786,1,-79,-10,468,-80,-3,20300
15075,631,8468,274,517,517,1905,244,281,12350
1320,-330,4048,61,442,-84,1317,382,-89,1443
42650,41,12644,13,81,79,1233,68,9,44900
87700,-106,33999,5,39,-18,501,34,-6,75550
28650,1180,31386,184,733,814,30578,549,537,27550
178000,14684,415260,27,148,85,1964,120,248,168000
10310,-275,11998,0,-30,-1,186,-31,-4,9880
8320,-199,16214,11,41,41,1013,30,-10,7400
11400,425,23382,194,501,576,15136,307,420,11375
6725,-63,4124,4,-62,-9,229,-66,-6,6265
3675,-60,2010,15,-1,-15,126,-15,-24,4290
4923,52,2822,1,-1,2,354,-1,22,4195
20025,375,19408,59,313,142,2976,254,145,21400
1298,0,374,40,492,58,3439,452,-5,1105
326750,3218,473548,61,5,54,460,-55,27,315500
9560,320,22288,0,-15,-12,929,-15,2,7520
1958,8,4055,186,0,18,1123,-186,18,2028
10950,104,11424,3,-17,27,475,-20,12,12500
5555,130,9380,8,6,17,204,-2,13,5930
2248,85,916,5,-16,28,409,-21,34,2443
1741,-214,4997,83,-66,-47,1544,-149,-77,1168
68550,3456,78762,54,70,91,1050,16,213,72150
22750,675,23462,269,331,289,7142,62,235,27125
7055,44,9599,327,-2738,297,50578,-3065,109,6525
3685,94,2657,243,34,72,1200,-209,70,3445
25750,661,49558,34,-101,44,3139,-135,64,25475
92300,416,-22259,364,-422,-44,86,-786,246,112250
3046,-111,8266,13,88,20,539,75,-25,2878
26150,324,5371,16,6,43,468,-10,34,39775
75550,614,49553,43,143,186,2691,100,173,73500
31125,543,52987,58,28,41,802,-30,61,35425
66800,810,43617,164,-257,284,9282,-422,123,62650
110250,1317,342173,265,110,-18,2546,-155,44,120750
7965,29,20317,-12,-4,-2,589,8,2,7605
5900,855,10381,34,-256,237,958,-290,188,6075
3306,80,3509,16,-21,8,413,-37,19,2863
44700,2354,84691,2,86,83,429,84,71,41900
17675,-455,55080,6,30,-19,591,25,-18,15925
24750,2437,86309,4,-11,23,375,-15,48,27350
6855,92,7105,2,-4,10,148,-7,17,5255
35925,766,68518,195,128,189,3813,-67,169,34475
27225,954,103492,75,95,29,1654,20,53,23325
18900,331,51446,185,-52,-24,1601,-237,30,18625
29025,-925,63379,158,-269,-63,4330,-427,-110,26800
13150,284,11792,562,151,488,4815,-411,296,11925
1453,18,887,22,-1,36,499,-23,19,1423
375500,3223,607781,967,705,712,8430,-262,341,358000
24225,-239,22110,44,8,13,1051,-36,-33,28725
11125,4,1795,1,18,8,233,17,1,6840
1818,-16,2586,9,-38,61,773,-47,-13,2508
55575,77,19546,78,-92,-26,-4240,-170,27,65750
1975,-47,2430,6,95,11,325,89,-10,1900
2283,52,4849,2,-32,13,982,-34,11,1930
3920,41,3946,7,5,12,294,-2,7,4895
2035,52,319,2,-58,78,1091,-60,51,1925
264250,1191,34729,1951,3601,3785,18554,1650,2662,317500
17975,478,17537,2,-62,25,643,-64,79,17800
8445,43,22477,133,-66,6,1479,-199,6,7850
211000,1958,216166,81,14,30,985,-67,19,229750
939,7,1523,1,-19,0,355,-19,2,848
1153,-32,1038,143,-384,-143,2118,-527,-147,1093
1800,30,2039,11,-35,56,1018,-47,20,1710
3723,177,10244,18,38,48,650,20,50,3673
21775,128,4683,8,49,29,339,40,57,24450
3803,67,8981,2,-197,4,472,-199,9,3448
99250,2749,213336,133,-203,229,4928,-336,169,97950
4112,-25,984,6,2,0,116,-4,-23,4275
9775,53,20530,100,-379,133,7598,-478,11,10265
14825,220,11397,255,274,150,2628,19,132,17800
18625,1097,46877,218,40,54,334,-178,73,19075
5128,-32,3817,14,-73,-8,227,-87,-10,5035
18750,173,8514,16,42,48,629,26,32,20625
53900,1290,24422,88,180,131,1168,92,100,86300
1169500,37561,3090036,138,505,586,7121,368,536,1245000
1305,-217,1135,104,-49,-62,1962,-152,-303,845
123750,631,213220,181,356,18,3183,175,56,147250
2385,9,1354,10,-24,6,208,-34,3,2300
12775,603,17638,276,251,518,4452,-25,550,17900
5016,-656,14851,0,413,-224,760,413,-197,4068
31600,6802,28322,4842,8467,1915,28660,3625,5592,32550
81350,4252,81616,738,2789,6063,26428,2051,7535,88600
1925,10,1573,4,130,19,239,126,14,2535
