price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,binary
588,-37,482,0,92,-13,96,91,-42,0
14075,225,24823,63,-112,119,920,-175,62,0
95200,1178,174160,254,-685,180,5666,-939,145,1
25425,-298,17230,151,-299,-274,4134,-450,-212,0
217250,2374,132775,69,393,355,3512,325,295,1
159750,165,133766,668,885,511,15949,217,44,0
11100,-588,23315,154,-340,-243,4113,-494,-232,0
132250,319,113069,761,-987,2658,40863,-1748,513,0
2795,16,7357,24,-52,9,492,-77,11,0
81850,3601,122190,540,3037,1140,25114,2497,1493,1
20075,45,16803,8,-22,3,101,-30,3,1
21525,466,30320,31,228,507,1956,197,445,0
12950,163,5966,4,79,71,391,75,59,1
32875,1888,66008,1824,2501,3828,128439,677,7654,1
808,-43,956,14,-169,8,1140,-183,-13,0
16925,-40,32584,68,-63,8,1726,-131,7,1
3797,82,7102,82,227,150,2596,146,67,1
88450,659,166189,45,102,103,1759,57,45,0
7235,500,10518,33,-238,144,1777,-270,119,1
23350,641,67131,9,-55,31,2074,-63,27,0
7605,110,10324,7,-15,14,220,-21,6,1
79900,1268,185845,12,40,46,326,28,36,0
116000,-185,142818,105,352,54,1514,247,-11,1
77200,2607,35641,20185,28200,24676,62895,8016,18987,0
1156500,28695,1595449,635,248,53,7062,-386,376,0
3058,26,8229,14,-30,24,1062,-44,21,0
7260,-85,8158,19,-182,8,814,-201,-24,0
38575,140,55501,101,2251,2286,41297,2150,439,0
56350,692,122666,17,5,28,482,-11,15,1
37400,962,71889,54,70,59,777,16,69,0
969,8,1049,115,61,12,261,-54,8,1
4071,-47,9163,6,2,-6,198,-4,-7,0
21775,-47,141786,1,-79,-10,468,-80,-3,0
15075,631,8468,274,517,517,1905,244,281,0
1320,-330,4048,61,442,-84,1317,382,-89,1
42650,41,12644,13,81,79,1233,68,9,1
87700,-106,33999,5,39,-18,501,34,-6,0
28650,1180,31386,184,733,814,30578,549,537,0
178000,14684,415260,27,148,85,1964,120,248,0
10310,-275,11998,0,-30,-1,186,-31,-4,0
8320,-199,16214,11,41,41,1013,30,-10,0
11400,425,23382,194,501,576,15136,307,420,0
6725,-63,4124,4,-62,-9,229,-66,-6,0
3675,-60,2010,15,-1,-15,126,-15,-24,1
4923,52,2822,1,-1,2,354,-1,22,0
20025,375,19408,59,313,142,2976,254,145,1
1298,0,374,40,492,58,3439,452,-5,0
326750,3218,473548,61,5,54,460,-55,27,0
9560,320,22288,0,-15,-12,929,-15,2,0
1958,8,4055,186,0,18,1123,-186,18,1
10950,104,11424,3,-17,27,475,-20,12,1
5555,130,9380,8,6,17,204,-2,13,1
2248,85,916,5,-16,28,409,-21,34,1
1741,-214,4997,83,-66,-47,1544,-149,-77,0
68550,3456,78762,54,70,91,1050,16,213,1
22750,675,23462,269,331,289,7142,62,235,1
7055,44,9599,327,-2738,297,50578,-3065,109,0
3685,94,2657,243,34,72,1200,-209,70,0
25750,661,49558,34,-101,44,3139,-135,64,0
92300,416,-22259,364,-422,-44,86,-786,246,1
3046,-111,8266,13,88,20,539,75,-25,0
26150,324,5371,16,6,43,468,-10,34,1
75550,614,49553,43,143,186,2691,100,173,0
31125,543,52987,58,28,41,802,-30,61,1
66800,810,43617,164,-257,284,9282,-422,123,0
110250,1317,342173,265,110,-18,2546,-155,44,1
7965,29,20317,-12,-4,-2,589,8,2,0
5900,855,10381,34,-256,237,958,-290,188,1
3306,80,3509,16,-21,8,413,-37,19,0
44700,2354,84691,2,86,83,429,84,71,0
17675,-455,55080,6,30,-19,591,25,-18,0
24750,2437,86309,4,-11,23,375,-15,48,1
6855,92,7105,2,-4,10,148,-7,17,0
35925,766,68518,195,128,189,3813,-67,169,0
27225,954,103492,75,95,29,1654,20,53,0
18900,331,51446,185,-52,-24,1601,-237,30,0
29025,-925,63379,158,-269,-63,4330,-427,-110,0
13150,284,11792,562,151,488,4815,-411,296,0
1453,18,887,22,-1,36,499,-23,19,0
375500,3223,607781,967,705,712,8430,-262,341,0
24225,-239,22110,44,8,13,1051,-36,-33,1
11125,4,1795,1,18,8,233,17,1,0
1818,-16,2586,9,-38,61,773,-47,-13,1
55575,77,19546,78,-92,-26,-4240,-170,27,1
1975,-47,2430,6,95,11,325,89,-10,0
2283,52,4849,2,-32,13,982,-34,11,0
3920,41,3946,7,5,12,294,-2,7,1
2035,52,319,2,-58,78,1091,-60,51,0
264250,1191,34729,1951,3601,3785,18554,1650,2662,1
17975,478,17537,2,-62,25,643,-64,79,0
8445,43,22477,133,-66,6,1479,-199,6,0
211000,1958,216166,81,14,30,985,-67,19,1
939,7,1523,1,-19,0,355,-19,2,0
1153,-32,1038,143,-384,-143,2118,-527,-147,0
1800,30,2039,11,-35,56,1018,-47,20,0
3723,177,10244,18,38,48,650,20,50,0
21775,128,4683,8,49,29,339,40,57,1
3803,67,8981,2,-197,4,472,-199,9,0
99250,2749,213336,133,-203,229,4928,-336,169,0
4112,-25,984,6,2,0,116,-4,-23,1
9775,53,20530,100,-379,133,7598,-478,11,1
14825,220,11397,255,274,150,2628,19,132,1
18625,1097,46877,218,40,54,334,-178,73,1
5128,-32,3817,14,-73,-8,227,-87,-10,0
18750,173,8514,16,42,48,629,26,32,1
53900,1290,24422,88,180,131,1168,92,100,1
1169500,37561,3090036,138,505,586,7121,368,536,1
1305,-217,1135,104,-49,-62,1962,-152,-303,0
123750,631,213220,181,356,18,3183,175,56,1
2385,9,1354,10,-24,6,208,-34,3,0
12775,603,17638,276,251,518,4452,-25,550,1
5016,-656,14851,0,413,-224,760,413,-197,0
31600,6802,28322,4842,8467,1915,28660,3625,5592,1
81350,4252,81616,738,2789,6063,26428,2051,7535,1
1925,10,1573,4,130,19,239,126,14,1
8335,-14,21533,10,60,37,1165,50,-4,0
5321,-101,5899,303,-132,-155,7887,-435,-139,0
30425,388,9568,40,192,305,2859,152,230,1
1218,-84,2247,7,-19,-20,279,-26,-28,0
2990,61,2637,10,-12,6,103,-22,8,1
175600,2870,193778,128,65,73,520,-63,64,1
40150,59,4616,57,18,49,999,-39,26,1
24600,1105,31550,50,184,103,2334,134,89,1
41375,755,44107,70,471,221,2866,401,195,1
54400,2504,122998,3043,-716,3497,45741,-3759,3411,1
978,3,990,9,103,10,732,94,6,0
10425,52,8863,4,15,7,289,11,5,1
110000,3265,217363,7,18,25,962,12,22,0
2210,-23,2690,16,2,29,1193,-14,-9,0
19550,202,20783,34,86,94,1081,52,46,1
1783,-188,2816,6,-38,34,1312,-44,-69,0
6055,186,12600,91,104,117,1815,13,90,0
187250,2533,328704,2037,710,776,9166,-1327,338,1
6170,198,5942,109,-20,64,966,-128,83,0
2208,17,3482,0,31,21,235,31,6,0
14175,309,32756,33,32,53,1663,0,72,0
340250,4885,306178,121,333,325,5554,212,298,1
18875,348,14936,96,-53,130,1750,-148,83,1
36375,925,60813,89,127,149,2713,39,130,0
4251,157,5698,39,202,52,1816,162,59,0
12400,728,23487,12,-167,149,1953,-179,111,0
40450,407,27422,0,35,19,134,35,12,0
