price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,price_12
588,-15,-45,1,-182,-45,13,-182,-18,349
14075,15,245,52,385,-15,-17,333,4,14050
95200,31,2430,-95,575,126,426,670,82,112250
25425,493,236,104,986,624,780,882,351,23950
217250,203,2458,86,342,-148,39,255,29,218750
159750,813,1706,193,-1005,108,1129,-1199,201,147250
11100,784,294,103,983,620,779,881,352,9990
132250,516,6594,90,-815,1232,5021,-905,-282,122750
2795,99,123,-4,122,9,-63,126,69,2595
81850,-954,3261,7,-2944,290,5949,-2950,-448,83350
20075,-117,-16,-3,26,-13,13,29,-14,25400
21525,73,890,25,308,77,77,283,88,18450
12950,4,158,5,-9,-6,8,-14,-1,14275
32875,-927,1710,1909,9978,212,7345,8069,-3758,33175
808,-22,-74,17,181,-11,53,163,-22,747
16925,3026,3952,60,241,64,330,181,522,17425
3797,-42,120,110,85,-107,-106,-26,-27,3810
88450,1826,5022,15,-26,-72,27,-41,94,87700
7235,-148,388,10,110,-30,-33,100,-34,8785
23350,-512,16,16,-27,-6,-72,-44,-21,22250
7605,-161,-61,390,30,-8,6,-362,-9,8490
79900,307,1180,-3,-9,-7,-24,-6,1,79400
116000,3977,3954,-42,-139,157,313,-97,244,126000
77200,784,3675,6465,4641,5831,4028,-1825,5698,77100
1156500,-5528,31881,70,38,-33,764,-33,11,1110500
3058,85,129,0,39,-27,-13,39,67,2945
7260,130,79,-9,200,24,44,209,73,6300
38575,1118,1857,8,219,378,784,210,1608,35700
56350,846,1359,-13,-32,1,15,-20,19,57300
37400,568,1709,88,148,39,168,60,38,36975
969,-7,1,-89,-76,-10,-17,14,-7,1018
4071,168,287,13,58,34,376,45,37,3958
21775,-2917,-4369,-1,156,-5,-24,157,-48,20300
15075,-44,676,-98,-25,-66,-158,72,-20,12350
1320,130,-230,118,-288,77,94,-407,35,1443
42650,-90,-41,1,-32,-43,-20,-33,-20,44900
87700,-2208,132877,-3,-31,0,17,-28,-18,75550
28650,-1012,738,66,-1170,-422,-425,-1236,-392,27550
178000,-9207,7835,16,-26,8,87,-41,-155,168000
10310,98,-188,0,39,1,5,40,2,9880
8320,-611,-788,-3,-20,-46,-191,-17,-47,7400
11400,-1166,-773,-73,-1154,-33,-35,-1081,-1114,11375
6725,-208,-264,-2,121,-17,69,123,-21,6265
3675,12,-33,27,14,4,-3,-14,5,4290
4923,-48,14,3,-11,6,24,-14,-20,4195
20025,-249,-606,-25,258,-21,384,283,-77,21400
1298,-4,-3,53,-556,117,724,-609,-29,1105
326750,-267,3018,8,78,-8,-8,69,-2,315500
9560,-956,-512,0,-26,-1,-83,-26,-66,7520
1958,38,76,-104,1,44,131,105,88,2028
10950,35,-60,-1,83,0,-21,83,6,12500
5555,-42,127,7,25,-3,0,17,-4,5930
2248,237,591,13,-208,12,36,-221,103,2443
1741,-98,-98,106,388,-62,-235,282,-43,1168
68550,-2341,-2133,-14,27,18,113,41,-107,72150
22750,-328,547,102,-151,-50,99,-253,-114,27125
7055,-100,7,123,4324,-102,-64,4201,-245,6525
3685,-4,136,128,214,-2,-136,86,-2,3445
25750,-675,202,10,91,-25,139,81,-64,25475
92300,31388,50776,-152,484,5,71,637,14705,112250
3046,257,104,-10,-80,-1,-31,-69,58,2878
26150,-20,407,12,43,3,6,31,-3,39775
75550,557,1465,-2,477,218,467,479,179,73500
31125,3998,4882,-46,109,5,35,155,422,35425
66800,-47,1594,7,659,44,1892,653,16,62650
110250,2569,5169,-43,-137,264,574,-94,120,120750
7965,55,1272,13,-3,0,-122,-16,4,7605
5900,-451,468,15,181,-159,-273,166,-91,6075
3306,-12,73,-5,44,15,14,49,-2,2863
44700,-155,2352,3,-42,0,24,-45,-5,41900
17675,504,53,24,-75,17,22,-99,20,15925
24750,-2342,485,14,113,-17,-52,99,-45,27350
6855,45,151,9,21,17,69,12,9,5255
35925,-231,1837,33,486,-28,42,453,-65,34475
27225,-498,709,0,-58,17,-12,-58,-25,23325
18900,-392,-63,-6,74,24,157,80,-35,18625
29025,-558,-1402,5,550,169,120,545,-65,26800
13150,1,431,-71,-63,-52,326,8,-2,11925
1453,22,39,-19,14,18,40,33,26,1423
375500,3402,59418,389,663,208,1273,274,359,358000
24225,25,-176,8,-78,-24,13,-86,1,28725
11125,1,8,0,-127,-2,65,-127,0,6840
1818,26,53,11,30,-53,-160,20,19,2508
55575,-21,-45,-63,229,44,5848,292,-17,65750
1975,79,10,-3,-89,-19,-24,-86,17,1900
2283,-22,-11,5,-68,14,40,-73,-4,1930
3920,-30,5,-6,-10,-2,18,-4,-5,4895
2035,-32,99,-2,136,-18,449,138,-23,1925
264250,-678,610,-626,-3546,-2481,-4424,-2920,-1662,317500
17975,-26,526,-2,-1,-4,-1,1,-4,17800
8445,132,173,-97,166,27,92,264,17,7850
211000,22637,15177,16,123,-7,-226,107,208,229750
939,96,144,9,19,14,14,9,34,848
1153,-14,-40,41,581,56,424,540,39,1093
1800,0,37,8,114,-9,13,107,0,1710
3723,-87,136,-11,58,-15,-21,69,-29,3673
21775,-85,59,0,-64,-26,50,-63,-38,24450
3803,-162,-265,2,183,6,186,181,-21,3448
99250,-1074,4312,156,-595,-10,526,-750,-56,97950
4112,-14,-69,4,-18,-8,-5,-22,-11,4275
9775,188,273,11,673,16,1719,662,40,10265
14825,-10,258,-92,72,94,234,164,51,17800
18625,-959,-331,19,80,-20,-7,60,-63,19075
5128,111,96,-4,38,35,83,43,36,5035
18750,-286,-115,12,-46,27,16,-59,-55,20625
53900,-408,628,3,-248,-58,-152,-251,-32,86300
1169500,7875,92355,5,770,-26,-21,764,27,1245000
1305,213,-9,-184,52,92,151,236,297,845
123750,5006,7166,-124,-589,509,921,-465,390,147250
2385,14,23,-9,50,5,1,59,5,2300
12775,262,960,-5,8,234,-501,13,304,17900
5016,-409,-841,180,-310,-7,-57,-490,-198,4068
31600,-8921,1533,1601,-199,-187,392,-1799,-7595,32550
81350,-1244,3525,-89,-338,-384,2558,-249,-2113,88600
1925,4,16,-1,-31,4,64,-30,8,2535
8335,96,104,-4,157,-43,-96,161,31,7940
5321,72,-78,260,1148,89,1144,888,99,5213
30425,-91,316,26,-192,-35,82,-218,-54,35950
1218,-8,-57,-2,19,-8,-5,21,-7,1153
2990,-25,38,15,43,0,6,28,-3,3000
175600,-1209,2668,-62,-32,-16,-40,30,-27,193150
40150,-44,16,32,-292,-41,90,-324,-19,44425
24600,-137,915,10,-194,9,112,-204,2,25400
41375,426,1201,41,45,115,364,4,110,62000
54400,-1460,1653,200,7065,12,1184,6865,-2027,59600
978,-22,-14,-2,-122,-61,-152,-120,-45,961
10425,174,224,-3,-1,8,11,2,17,10800
110000,4407,7442,0,8,13,156,7,29,99000
2210,96,77,42,57,-6,-25,14,38,1800
19550,165,490,6,77,-6,114,70,37,25350
1783,467,406,13,138,-13,-20,124,185,1540
6055,41,301,-44,115,-62,211,159,-15,4545
187250,2330,5782,-1625,-1189,-363,-400,436,132,287500
6170,-47,160,-1,96,-13,-4,97,-19,5440
2208,5,0,0,-16,-3,-19,-16,2,2170
14175,29,446,-22,73,-15,13,93,6,12450
